,101,102,104,201,202,203,204,301,302,303,304,305,401,402,501,502,601,602,603,604,701
101,0,0.169,0.1614,0.831,0.1073,0.0285,0.1284,0.4313,0.2769,0.5016,0.048,0.1362,0.7909,0.367,0.6258,0.0017,0.3676,0.1295,0.581,0.0503,0.6892
102,0.169,0,0.3304,1,0.0617,0.1975,0.2974,0.6003,0.4459,0.6706,0.217,0.3052,0.9599,0.536,0.7948,0.1707,0.5366,0.0395,0.75,0.1187,0.8582
104,0.1614,0.3304,0,0.6696,0.2687,0.1329,0.033,0.2699,0.1155,0.3401,0.1134,0.0252,0.6295,0.2056,0.4644,0.1597,0.2062,0.2909,0.4196,0.2117,0.5278
201,0.831,1,0.6696,0,0.9383,0.8025,0.7026,0.3997,0.5541,0.3294,0.783,0.6948,0.0401,0.464,0.2052,0.8293,0.4634,0.9605,0.25,0.8813,0.1418
202,0.1073,0.0617,0.2687,0.9383,0,0.1358,0.2357,0.5386,0.3843,0.6089,0.1554,0.2435,0.8983,0.4744,0.7331,0.109,0.4749,0.0221,0.6883,0.057,0.7965
203,0.0285,0.1975,0.1329,0.8025,0.1358,0,0.0999,0.4028,0.2484,0.4731,0.0195,0.1077,0.7624,0.3385,0.5973,0.0268,0.3391,0.158,0.5525,0.0788,0.6607
204,0.1284,0.2974,0.033,0.7026,0.2357,0.0999,0,0.3029,0.1486,0.3732,0.0803,0.0078,0.6626,0.2387,0.4974,0.1267,0.2392,0.2578,0.4526,0.1787,0.5608
301,0.4313,0.6003,0.2699,0.3997,0.5386,0.4028,0.3029,0,0.1544,0.0703,0.3833,0.2951,0.3597,0.0642,0.1945,0.4296,0.0637,0.5608,0.1497,0.4816,0.2579
302,0.2769,0.4459,0.1155,0.5541,0.3843,0.2484,0.1486,0.1544,0,0.2246,0.2289,0.1407,0.514,0.0901,0.3489,0.2752,0.0907,0.4064,0.3041,0.3273,0.4123
303,0.5016,0.6706,0.3401,0.3294,0.6089,0.4731,0.3732,0.0703,0.2246,0,0.4535,0.3654,0.2894,0.1345,0.1242,0.4998,0.1339,0.631,0.0794,0.5519,0.1876
304,0.048,0.217,0.1134,0.783,0.1554,0.0195,0.0803,0.3833,0.2289,0.4535,0,0.0882,0.7429,0.319,0.5778,0.0463,0.3196,0.1775,0.5329,0.0984,0.6412
305,0.1362,0.3052,0.0252,0.6948,0.2435,0.1077,0.0078,0.2951,0.1407,0.3654,0.0882,0,0.6547,0.2308,0.4896,0.1345,0.2314,0.2657,0.4448,0.1865,0.553
401,0.7909,0.9599,0.6295,0.0401,0.8983,0.7624,0.6626,0.3597,0.514,0.2894,0.7429,0.6547,0,0.4239,0.1651,0.7892,0.4233,0.9204,0.21,0.8413,0.1017
402,0.367,0.536,0.2056,0.464,0.4744,0.3385,0.2387,0.0642,0.0901,0.1345,0.319,0.2308,0.4239,0,0.2588,0.3653,0.0006,0.4965,0.2139,0.4174,0.3222
501,0.6258,0.7948,0.4644,0.2052,0.7331,0.5973,0.4974,0.1945,0.3489,0.1242,0.5778,0.4896,0.1651,0.2588,0,0.6241,0.2582,0.7553,0.0448,0.6761,0.0634
502,0.0017,0.1707,0.1597,0.8293,0.109,0.0268,0.1267,0.4296,0.2752,0.4998,0.0463,0.1345,0.7892,0.3653,0.6241,0,0.3659,0.1312,0.5793,0.052,0.6875
601,0.3676,0.5366,0.2062,0.4634,0.4749,0.3391,0.2392,0.0637,0.0907,0.1339,0.3196,0.2314,0.4233,0.0006,0.2582,0.3659,0,0.4971,0.2134,0.4179,0.3216
602,0.1295,0.0395,0.2909,0.9605,0.0221,0.158,0.2578,0.5608,0.4064,0.631,0.1775,0.2657,0.9204,0.4965,0.7553,0.1312,0.4971,0,0.7105,0.0791,0.8187
603,0.581,0.75,0.4196,0.25,0.6883,0.5525,0.4526,0.1497,0.3041,0.0794,0.5329,0.4448,0.21,0.2139,0.0448,0.5793,0.2134,0.7105,0,0.6313,0.1082
604,0.0503,0.1187,0.2117,0.8813,0.057,0.0788,0.1787,0.4816,0.3273,0.5519,0.0984,0.1865,0.8413,0.4174,0.6761,0.052,0.4179,0.0791,0.6313,0,0.7395
701,0.6892,0.8582,0.5278,0.1418,0.7965,0.6607,0.5608,0.2579,0.4123,0.1876,0.6412,0.553,0.1017,0.3222,0.0634,0.6875,0.3216,0.8187,0.1082,0.7395,0
