FID,G04a_001,G04a_002,G04a_010
227,64445526,56.1,1.3
228,64445527,52.7,1.3
229,64445528,57.1,1.6
230,64445529,67.9,1.1
231,64445532,60.0,1.9
232,64445533,71.2,1.0
233,64445534,68.1,1.3
234,64445535,69.7,1.1
235,64445536,59.6,0.9
236,64445537,62.7,1.2
237,64445538,66.0,0.9
238,64445539,63.2,1.5
239,64445542,60.2,2.1
240,64445543,70.0,1.4
241,64445544,73.3,1.0
242,64445545,64.1,1.4
243,64445546,66.3,1.2
244,64445547,66.1,1.0
245,64445548,63.4,0.9
246,64445549,51.4,1.6
247,64445551,71.4,2.1
248,64445552,75.0,1.5
249,64445553,75.2,1.2
250,64445554,63.8,1.6
251,64445555,59.7,1.4
252,64445556,72.6,0.9
253,64445557,69.5,1.0
254,64445558,65.4,1.3
255,64445559,63.4,1.2
256,64445561,81.0,2.2
257,64445562,86.0,1.5
258,64445563,75.3,1.1
259,64445564,66.8,2.0
260,64445565,51.4,2.2
261,64445566,53.4,1.8
262,64445567,51.8,2.4
263,64445568,72.2,1.5
264,64445569,66.2,1.3
265,64445571,83.6,1.9
266,64445572,81.2,1.1
267,64445573,82.8,1.4
268,64445574,62.2,2.3
269,64445575,45.3,2.2
270,64445576,43.3,1.6
271,64445577,41.2,2.3
272,64445578,65.2,1.3
273,64445579,56.2,1.1
274,64445581,74.6,3.2
275,64445582,83.1,1.4
276,64445583,88.8,0.9
277,64445584,60.8,3.0
278,64445585,35.6,2.0
279,64445586,28.0,1.6
280,64445587,33.6,2.3
281,64445588,53.0,2.4
282,64445589,37.6,2.3
283,64445591,57.7,3.5
284,64445592,91.7,1.4
285,64445593,90.8,1.3
286,64445594,57.3,2.4
287,64445595,53.4,1.9
288,64445596,24.0,1.6
289,64445597,31.5,1.7
290,64445598,36.2,1.6
291,64445599,36.9,2.2
292,64445600,77.4,1.0
293,64445601,84.0,0.4
294,64445602,82.6,0.6
295,64445603,80.1,1.2
296,64445604,64.2,3.5
297,64445605,45.2,3.5
298,64445606,51.2,3.3
299,64445607,33.4,4.3
300,64445608,10.3,2.5
301,64445609,25.6,2.4
302,64445610,75.3,0.7
303,64445611,77.7,0.9
304,64445612,81.1,0.6
305,64445613,80.5,0.6
306,64445614,74.8,0.6
307,64445615,66.5,1.8
308,64445616,65.0,2.0
309,64445617,24.0,4.5
310,64445618,15.5,3.4
311,64445619,11.3,2.6
312,64445620,64.9,1.0
313,64445621,66.0,0.8
314,64445622,70.8,0.9
315,64445623,70.4,0.9
316,64445624,69.9,0.8
317,64445625,68.3,1.8
318,64445626,37.1,3.8
319,64445627,8.2,1.6
320,64445628,20.3,2.8
321,64445629,31.1,3.9
322,64445630,50.2,1.8
323,64445631,49.2,1.5
324,64445632,52.6,1.5
325,64445633,51.7,2.0
326,64445634,38.2,2.8
327,64445635,27.4,3.5
328,64445636,15.4,3.3
329,64445637,33.4,3.0
330,64445638,34.3,2.8
331,64445639,38.0,3.0
332,64445640,49.7,1.8
333,64445641,32.8,0.7
334,64445642,33.5,1.1
335,64445643,44.6,2.6
336,64445644,39.0,2.6
337,64445645,23.2,2.8
338,64445646,37.4,3.7
339,64445647,33.5,2.9
340,64445648,7.0,1.3
341,64445649,8.9,1.8
342,64445650,47.8,1.7
343,64445651,46.8,1.9
344,64445652,44.0,2.0
345,64445653,56.0,1.8
346,64445654,51.2,2.4
347,64445655,45.4,2.3
348,64445656,38.5,2.6
349,64445657,23.2,3.1
350,64445658,13.6,2.7
351,64445659,18.5,3.1
352,64445660,50.3,1.8
353,64445661,54.0,1.7
354,64445662,51.2,1.5
355,64445663,47.2,1.7
356,64445664,34.9,2.2
357,64445665,30.2,2.5
358,64445666,25.5,2.5
359,64445667,22.6,2.9
360,64445668,20.7,2.3
361,64445669,30.6,1.7
362,64445670,52.4,1.9
363,64445671,40.2,2.8
364,64445672,49.5,1.9
365,64445673,36.6,2.0
366,64445674,35.8,2.4
367,64445675,29.0,2.1
368,64445676,19.1,1.8
369,64445677,6.7,0.8
370,64445678,21.7,2.1
371,64445679,37.0,2.3
372,64445680,34.0,1.7
373,64445681,25.0,1.9
374,64445682,37.4,2.1
375,64445683,20.6,2.1
376,64445684,17.3,2.1
377,64445685,10.4,0.8
378,64445686,7.0,0.6
379,64445687,9.9,1.1
380,64445688,35.5,1.9
381,64445689,56.8,2.2
382,64445690,19.7,1.6
383,64445691,14.1,1.6
384,64445692,21.5,2.1
385,64445693,20.6,2.2
386,64445694,6.2,0.3
387,64445695,9.1,0.8
388,64445696,6.8,0.5
389,64445697,6.4,0.5
390,64445698,18.3,2.0
391,64445699,29.0,2.2
392,64445700,22.8,2.6
393,64445701,33.0,4.3
394,64445702,12.8,1.8
395,64445703,16.3,2.2
396,64445704,22.4,3.1
397,64445705,38.2,3.3
398,64445706,14.1,1.8
399,64445707,20.6,1.9
400,64445708,33.8,2.0
401,64445709,56.6,1.9
402,64445710,13.1,2.2
403,64445711,5.9,1.1
404,64445712,4.5,0.5
405,64445713,4.1,0.1
406,64445714,10.7,1.5
407,64445715,8.1,1.3
408,64445716,6.9,0.6
409,64445717,20.1,1.6
410,64445718,40.1,1.7
411,64445719,58.5,0.8
412,64445720,3.2,0.2
413,64445721,4.2,0.4
414,64445722,20.5,2.6
415,64445723,20.8,3.3
416,64445724,11.0,2.3
417,64445725,11.5,1.7
418,64445726,6.2,0.6
419,64445727,21.1,1.5
420,64445728,47.0,2.0
421,64445729,51.6,0.8
422,64445730,3.4,0.8
423,64445731,18.8,2.6
424,64445732,45.9,2.5
425,64445733,58.5,1.8
426,64445734,43.7,2.6
427,64445735,42.5,2.2
428,64445736,30.7,2.4
429,64445737,16.0,2.0
430,64445738,31.3,2.2
431,64445739,47.7,1.0
432,64445740,14.4,2.2
433,64445741,36.1,3.1
434,64445742,58.2,1.5
435,64445743,51.2,1.6
436,64445744,48.7,1.5
437,64445745,49.4,1.8
438,64445746,26.1,2.2
439,64445747,22.4,2.1
440,64445748,26.6,1.8
441,64445749,34.3,1.7
442,64445750,39.4,2.2
443,64445751,55.5,1.8
444,64445752,47.8,1.3
445,64445753,43.7,1.5
446,64445754,33.1,1.8
447,64445755,27.7,2.2
448,64445756,30.5,2.6
