FID,3_code,long,lat
0,65440501.000000000000000,144.643750000000010,43.337500002900001
1,65440502.000000000000000,144.656250000000000,43.337500002900001
2,65440503.000000000000000,144.668749999999990,43.337500002900001
3,65440504.000000000000000,144.681250000000010,43.337500002900001
4,65440505.000000000000000,144.693749999999990,43.337500002900001
5,65440506.000000000000000,144.706250000000010,43.337500002900001
6,65440507.000000000000000,144.718750000000000,43.337500002900001
7,65440513.000000000000000,144.668749999999990,43.345833336200002
8,65440514.000000000000000,144.681250000000010,43.345833336200002
9,65440515.000000000000000,144.693749999999990,43.345833336200002
10,65440516.000000000000000,144.706250000000010,43.345833336200002
11,65440523.000000000000000,144.668749999999990,43.354166669599998
12,65440524.000000000000000,144.681250000000010,43.354166669599998
13,64455040.000000000000000,145.006249999999990,43.120833336200000
14,64455050.000000000000000,145.006249999999990,43.129166669500002
15,64443790.000000000000000,144.881249999999990,42.995833336200000
16,64443791.000000000000000,144.893750000000010,42.995833336200000
17,64443792.000000000000000,144.906250000000000,42.995833336200000
18,64443793.000000000000000,144.918749999999990,42.995833336200000
19,64444507.000000000000000,144.718750000000000,43.004166669500002
20,64444508.000000000000000,144.731249999999990,43.004166669500002
21,64444516.000000000000000,144.706250000000010,43.012500002899998
22,64444517.000000000000000,144.718750000000000,43.012500002899998
23,64444518.000000000000000,144.731249999999990,43.012500002899998
24,64444519.000000000000000,144.743750000000010,43.012500002899998
25,64444526.000000000000000,144.706250000000010,43.020833336199999
26,64444527.000000000000000,144.718750000000000,43.020833336199999
27,64444528.000000000000000,144.731249999999990,43.020833336199999
28,64444529.000000000000000,144.743750000000010,43.020833336199999
29,64444536.000000000000000,144.706250000000010,43.029166669500000
30,64444537.000000000000000,144.718750000000000,43.029166669500000
31,64444538.000000000000000,144.731249999999990,43.029166669500000
32,64444539.000000000000000,144.743750000000010,43.029166669500000
33,64444546.000000000000000,144.706250000000010,43.037500002900003
34,64444547.000000000000000,144.718750000000000,43.037500002900003
35,64444548.000000000000000,144.731249999999990,43.037500002900003
36,64444549.000000000000000,144.743750000000010,43.037500002900003
37,64444552.000000000000000,144.656250000000000,43.045833336199998
38,64444553.000000000000000,144.668749999999990,43.045833336199998
39,64444554.000000000000000,144.681250000000010,43.045833336199998
40,64444555.000000000000000,144.693749999999990,43.045833336199998
41,64444556.000000000000000,144.706250000000010,43.045833336199998
42,64444557.000000000000000,144.718750000000000,43.045833336199998
43,64444558.000000000000000,144.731249999999990,43.045833336199998
44,64444559.000000000000000,144.743750000000010,43.045833336199998
45,64444561.000000000000000,144.643750000000010,43.054166669499999
46,64444562.000000000000000,144.656250000000000,43.054166669499999
47,64444563.000000000000000,144.668749999999990,43.054166669499999
48,64444564.000000000000000,144.681250000000010,43.054166669499999
49,64444565.000000000000000,144.693749999999990,43.054166669499999
50,64444566.000000000000000,144.706250000000010,43.054166669499999
51,64444567.000000000000000,144.718750000000000,43.054166669499999
52,64444568.000000000000000,144.731249999999990,43.054166669499999
53,64444569.000000000000000,144.743750000000010,43.054166669499999
54,64444570.000000000000000,144.631249999999990,43.062500002900002
55,64444571.000000000000000,144.643750000000010,43.062500002900002
56,64444572.000000000000000,144.656250000000000,43.062500002900002
