scenario,decades,nn,ns,nc,ispareto,isparetosize
abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,2030,0.4004635393147158,0.1941258313528959,0.7692350438047051,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,2050,0.3903501741703906,0.20238759557301847,0.7631235722384674,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Hardwood,2090,0.5469682458117944,0.19610979747864854,0.8794301091395345,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Natural,2030,0.38834064503026045,0.1939699113281955,0.7689728656288908,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Natural,2050,0.3716820287464697,0.20240810189073027,0.7634251420804045,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Long_Natural,2090,0.5032754984584394,0.19610266680842403,0.8805521134564396,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood,2030,0.39544452439369626,0.19416180164392227,0.7667256512543659,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood,2050,0.37992838993403216,0.20269514706128333,0.7625058158349619,Pareto solution,20
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Hardwood,2090,0.5050336740131911,0.19612739116143488,0.8797287651202014,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural,2030,0.39380164040593324,0.19421586102024893,0.7663165749503343,The others,5
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural,2050,0.3794746080361153,0.2026252811601473,0.7626063815957146,Pareto solution,20
abandon_Half of depop_No solar_Hardwood_Selective_Normal_Natural,2090,0.5034034268603057,0.19649037022021376,0.8811243692803807,The others,5
abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood,2030,0.4016526760282679,0.1942505454745603,0.769322242857231,Pareto solution,20
abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood,2050,0.39069967138662914,0.2025458722214339,0.7634299527469652,Pareto solution,20
abandon_Half of depop_No solar_Natural_Selective_Long_Hardwood,2090,0.5493760351088981,0.19622763508321658,0.8796918992390171,The others,5
