scenario,nplabel,np,isNP
continue_Half of depop_No solar_Natural_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_No solar_Natural_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_Solar 50%_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_Solar 50%_Hardwood_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_Solar 50%_Hardwood_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_Solar 50%_Natural_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_Solar 50%_Natural_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Half of depop_Solar 50%_Natural_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_No abandonment_No solar_Natural_Selective_Long_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_No abandonment_No solar_Natural_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_No abandonment_No solar_Natural_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_No abandonment_No solar_Natural_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Hardwood_Clear_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Hardwood_Selective_Long_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Hardwood_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Hardwood_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Hardwood_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Natural_Clear_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Natural_Selective_Long_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Natural_Selective_Long_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Natural_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_No solar_Natural_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_Solar 50%_Hardwood_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_Solar 50%_Natural_Selective_Normal_Conifer,ppp,"2030s, 2050s, and 2090s",TRUE
continue_Same as depop_Solar 50%_Natural_Selective_Normal_Hardwood,ppp,"2030s, 2050s, and 2090s",TRUE
